,t,label
23245,Blessed are those who have been persecuted for righteousness sake For theirs is the Kingdom of Heaven,0
23246,Blessed are you when people reproach you persecute you and say all kinds of evil against you falsely for my sake,0
23247,Rejoice and be exceedingly glad for great is your reward in heaven For that is how they persecuted the prophets who were before you,0
23248,You are the salt of the earth but if the salt has lost its flavor with what will it be salted It is then good for nothing but to be cast out and trodden under the feet of men,0
23249,You are the light of the world A city located on a hill cant be hidden,0
23250,Neither do you light a lamp and put it under a measuring basket but on a stand and it shines to all who are in the house,0
23251,Even so let your light shine before men that they may see your good works and glorify your Father who is in heaven,0
23252,Dont think that I came to destroy the law or the prophets I didnt come to destroy but to fulfill,0
23253,For most assuredly I tell you until heaven and earth pass away not even one smallest letterliterally iota or one tiny pen strokeor serif shall in any way pass away from the law until all things are accomplished,0
23254,Whoever therefore shall break one of these least commandments and teach others to do so shall be called least in the Kingdom of Heaven but whoever shall do and teach them shall be called great in the Kingdom of Heaven,0
23255,For I tell you that unless your righteousness exceeds that of the scribes and Pharisees there is no way you will enter into the Kingdom of Heaven,0
23256,You have heard that it was said to the ancient ones You shall not murder and Whoever shall murder shall be in danger of the judgment,0
23257,But I tell you that everyone who is angry with his brother without a cause shall be in danger of the judgment and whoever shall say to his brother RacaRaca is an Aramaic insult related to the word for empty and conveying the idea of emptyheadedness! shall be in danger of the council and whoever shall say You fool! shall be in danger of the fire of GehennaGehenna is another name for Hell that brings to mind an image of a burning garbage dump with dead bodies in it,0
23258,If therefore you are offering your gift at the altar and there remember that your brother has anything against you,0
23259,leave your gift there before the altar and go your way First be reconciled to your brother and then come and offer your gift,0
23260,Agree with your adversary quickly while you are with him in the way lest perhaps the prosecutor deliver you to the judge and the judge deliver you to the officer and you be cast into prison,0
23261,Most assuredly I tell you you shall by no means get out of there until you have paid the last pennyLiterally kodrantes A kodrantes was a small copper coin worth about 2 lepta widows mitesnot enough to buy very much of anything,0
23262,You have heard that it was said TR adds to the ancients You shall not commit adultery,0
23263,but I tell you that everyone who gazes at a woman to lust after her has committed adultery with her already in his heart,0
23264,If your right eye causes you to stumble pluck it out and throw it away from you For it is more profitable for you that one of your members should perish than for your whole body to be cast into Gehenna,0
23265,If your right hand causes you to stumble cut it off and throw it away from you for it is profitable for you that one of your members should perish and not your whole body be thrown into Gehenna,0
23266,It was also said Whoever shall put away his wife let him give her a writing of divorce,0
23267,but I tell you that whoever puts away his wife except for the cause of sexual immorality makes her an adulteress and whoever marries her when she is put away commits adultery,0
23268,Again you have heard that it was said to them of old time You shall not make false vows but shall perform to the Lord your vows,0
23269,but I tell you dont swear at all neither by heaven for it is the throne of God,0
23270,nor by the earth for it is the footstool of his feet nor by Jerusalem for it is the city of the great King,0
23271,Neither shall you swear by your head for you cant make one hair white or black,0
23272,But let your Yes be Yes and your No be no Whatever is more than these is of the evil one,0
23273,You have heard that it was said An eye for an eye and a tooth for a tooth,0
23274,But I tell you dont resist him who is evil but whoever strikes you on your right cheek turn to him the other also,0
23275,If anyone sues you to take away your coat let him have your cloak also,0
23276,Whoever compels you to go one mile go with him two,0
23277,Give to him who asks you and dont turn away him who desires to borrow from you,0
23278,You have heard that it was said You shall love your neighbor and hate your enemy,0
23279,But I tell you love your enemies bless those who curse you do good to those who hate you and pray for those who mistreat you and persecute you,0
23280,that you may be children of your Father who is in heaven For he makes his sun to rise on the evil and the good and sends rain on the just and the unjust,0
23281,For if you love those who love you what reward do you have Dont even the tax collectors do the same,0
23282,If you only greet your friends what more do you do than others Dont even the tax collectors do the same,0
23283,Therefore you shall be perfect just as your Father in heaven is perfect,0
23284,Be careful that you dont do your charitable giving before men to be seen by them or else you have no reward from your Father who is in heaven,0
23285,Therefore when you do merciful deeds dont sound a trumpet before yourself as the hypocrites do in the synagogues and in the streets that they may get glory from men Most assuredly I tell you they have received their reward,0
23286,But when you do merciful deeds dont let your left hand know what your right hand does,0
23287,so that your merciful deeds may be in secret then your Father who sees in secret will reward you openly,0
23288,When you pray you shall not be as the hypocrites for they love to stand and pray in the synagogues and in the corners of the streets that they may be seen by men Most assuredly I tell you they have received their reward,0
23289,But you when you pray enter into your inner chamber and having shut your door pray to your Father who is in secret and your Father who sees in secret will reward you openly,0
23290,In praying dont use vain repetitions as the Gentiles do for they think that they will be heard for their much speaking,0
23291,Therefore dont be like them for your Father knows what things you need before you ask him,0
23292,Pray like this Our Father in heaven may your name be kept holy,0
23293,Let your Kingdom come Let your will be done as in heaven so on earth,0
23294,Give us today our daily bread,0
23295,Forgive us our debts as we also forgive our debtors,0
23296,Bring us not into temptation but deliver us from the evil one For yours is the Kingdom the power and the glory forever Amen,0
23297,For if you forgive men their trespasses your heavenly Father will also forgive you,0
23298,But if you dont forgive men their trespasses neither will your Father forgive your trespasses,0
23299,Moreover when you fast dont be like the hypocrites with sad faces For they disfigure their faces that they may be seen by men to be fasting Most assuredly I tell you they have received their reward,0
23300,But you when you fast anoint your head and wash your face,0
23301,so that you are not seen by men to be fasting but by your Father who is in secret and your Father who sees in secret will reward you,0
23302,Dont lay up treasures for yourselves on the earth where moth and rust consume and where thieves break through and steal,0
23303,but lay up for yourselves treasures in heaven where neither moth nor rust consume and where thieves dont break through and steal,0
23304,for where your treasure is there your heart will be also,0
23305,The lamp of the body is the eye If therefore your eye is sound your whole body will be full of light,0
23306,But if your eye is evil your whole body will be full of darkness If therefore the light that is in you is darkness how great is the darkness!,0
23307,No one can serve two masters for either he will hate the one and love the other or else he will be devoted to one and despise the other You cant serve both God and Mammon,0
23308,Therefore I tell you dont be anxious for your life what you will eat or what you will drink nor yet for your body what you will wear Isnt life more than food and the body more than clothing,0
23309,See the birds of the sky that they dont sow neither do they reap nor gather into barns Your heavenly Father feeds them Arent you of much more value than they,0
23310,Which of you by being anxious can add one cubit to the measure of his life,0
23311,Why are you anxious about clothing Consider the lilies of the field how they grow They dont toil neither do they spin,0
23312,yet I tell you that even Solomon in all his glory was not dressed like one of these,0
23313,But if God so clothes the grass of the field which today exists and tomorrow is thrown into the oven wont he much more clothe you you of little faith,0
23314,Therefore dont be anxious saying What will we eat What will we drink or With what will we be clothed,0
23315,For the Gentiles seek after all these things for your heavenly Father knows that you need all these things,0
23316,But seek first Gods Kingdom and his righteousness and all these things will be given to you as well,0
23317,Therefore dont be anxious for tomorrow for tomorrow will be anxious for itself Each days own evil is sufficient,0
23318,Dont judge so that you wont be judged,0
23319,For with whatever judgment you judge you will be judged and with whatever measure you measure it will be measured to you,0
23320,Why do you see the speck that is in your brothers eye but dont consider the beam that is in your own eye,0
23321,Or how will you tell your brother Let me remove the speck from your eye and behold the beam is in your own eye,0
23322,You hypocrite! First remove the beam out of your own eye and then you can see clearly to remove the speck out of your brothers eye,0
23323,Dont give that which is holy to the dogs neither throw your pearls before the pigs lest perhaps they trample them under their feet and turn and tear you to pieces,0
23324,Ask and it will be given you Seek and you will find Knock and it will be opened for you,0
23325,For everyone who asks receives He who seeks finds To him who knocks it will be opened,0
23326,Or who is there among you who if his son asks him for bread will give him a stone,0
23327,Or if he asks for a fish who will give him a serpent,0
23328,If you then being evil know how to give good gifts to your children how much more will your Father who is in heaven give good things to those who ask him!,0
23329,Therefore whatever you desire for men to do to you you shall also do to them for this is the law and the prophets,0
23330,Enter in by the narrow gate for wide is the gate and broad is the way that leads to destruction and many are those who enter in by it,0
23331,HowTR reads Because instead of How narrow is the gate and restricted is the way that leads to life! Few are those who find it,0
23332,Beware of false prophets who come to you in sheeps clothing but inwardly are ravening wolves,0
23333,By their fruits you will know them Do you gather grapes from thorns or figs from thistles,0
23334,Even so every good tree produces good fruit but the corrupt tree produces evil fruit,0
23335,A good tree cant produce evil fruit neither can a corrupt tree produce good fruit,0
23336,Every tree that doesnt grow good fruit is cut down and thrown into the fire,0
23337,Therefore by their fruits you will know them,0
23338,Not everyone who says to me Lord Lord will enter into the Kingdom of Heaven but he who does the will of my Father who is in heaven,0
23339,Many will tell me in that day Lord Lord didnt we prophesy in your name in your name cast out demons and in your name do many mighty works,0
23340,Then I will tell them I never knew you Depart from me you who work iniquity,0
23341,Everyone therefore who hears these words of mine and does them I will liken him to a wise man who built his house on a rock,0
23342,The rain came down the floods came and the winds blew and beat on that house and it didnt fall for it was founded on the rock,0
23343,Everyone who hears these words of mine and doesnt do them will be like a foolish man who built his house on the sand,0
23344,The rain came down the floods came and the winds blew and beat on that house and it felland great was its fall,0
23345,It happened when Jesus had finished saying these things that the multitudes were astonished at his teaching,0
23346,for he taught them with authority and not like the scribes,0
23347,When he came down from the mountain great multitudes followed him,0
23348,Behold a leper came to him and worshiped him saying Lord if you want to you can make me clean,0
23349,Jesus stretched out his hand and touched him saying I want to Be made clean Immediately his leprosy was cleansed,0
23350,Jesus said to him See that you tell nobody but go show yourself to the priest and offer the gift that Moses commanded as a testimony to them,0
23351,When he came into Capernaum a centurion came to him asking him,0
23352,and saying Lord my servant lies in the house paralyzed grievously tormented,0
23353,Jesus said to him I will come and heal him,0
23354,The centurion answered Lord Im not worthy for you to come under my roof Just say the word and my servant will be healed,0
23355,For I am also a man under authority having under myself soldiers I tell this one Go and he goes and tell another Come and he comes and tell my servant Do this and he does it,0
23356,When Jesus heard it he marveled and said to those who followed Most assuredly I tell you I havent found so great a faith not even in Israel,0
23357,I tell you that many will come from the east and the west and will sit down with Abraham Isaac and Jacob in the Kingdom of Heaven,0
23358,but the children of the Kingdom will be thrown out into the outer darkness There will be weeping and the gnashing of teeth,0
23359,Jesus said to the centurion Go your way Let it be done for you as you have believed His servant was healed in that hour,0
23360,When Jesus came into Peters house he saw his wifes mother lying sick with a fever,0
23361,He touched her hand and the fever left her She got up and served himTR reads them instead of him,0
23362,When evening came they brought to him many possessed with demons He cast out the spirits with a word and healed all who were sick,0
23363,that it might be fulfilled which was spoken through Isaiah the prophet saying He took our infirmities and bore our diseases,0
23364,Now when Jesus saw great multitudes around him he gave the order to depart to the other side,0
23365,A scribe came and said to him Teacher I will follow you wherever you go,0
23366,Jesus said to him The foxes have holes and the birds of the sky have nests but the Son of Man has nowhere to lay his head,0
23367,Another of his disciples said to him Lord allow me first to go and bury my father,0
23368,But Jesus said to him Follow me and leave the dead to bury their own dead,0
23369,When he got into a boat his disciples followed him,0
23370,Behold a great tempest arose in the sea so much that the boat was covered with the waves but he was asleep,0
23371,They came to him and woke him up saying Save us Lord! We are dying!,0
23372,He said to them Why are you fearful oh you of little faith Then he got up rebuked the wind and the sea and there was a great calm,0
23373,The men marveled saying What kind of man is this that even the wind and the sea obey him,0
23374,When he came to the other side into the country of the Gergesenes two people possessed by demons met him there coming out of the tombs exceedingly fierce so that nobody could pass by that way,0
23375,Behold they cried out saying What do we have to do with you Jesus Son of God Have you come here to torment us before the time,0
23376,Now there was a herd of many pigs feeding far away from them,0
23377,The demons begged him saying If you cast us out permit us to go away into the herd of pigs,0
23378,He said to them Go! They came out and went into the herd of pigs and behold the whole herd of pigs rushed down the cliff into the sea and died in the water,0
23379,Those who fed them fled and went away into the city and told everything including what happened to those who were possessed with demons,0
23380,Behold all the city came out to meet Jesus When they saw him they begged that he would depart from their borders,0
23381,He entered into a boat and crossed over and came into his own city,0
23382,Behold they brought to him a man who was paralyzed lying on a bed Jesus seeing their faith said to the paralytic Son cheer up! Your sins are forgiven you,0
23383,Behold some of the scribes said to themselves This man blasphemes,0
23384,Jesus knowing their thoughts said Why do you think evil in your hearts,0
23385,For which is easier to say Your sins are forgiven or to say Get up and walk,0
23386,But that you may know that the Son of Man has authority on earth to forgive sins then he said to the paralytic Get up and take up your mat and go up to your house,0
23387,He arose and departed to his house,0
23388,But when the multitudes saw it they marveled and glorified God who had given such authority to men,0
23389,As Jesus passed by from there he saw a man called Matthew sitting at the tax collection office He said to him Follow me He got up and followed him,0
23390,It happened as he sat in the house behold many tax collectors and sinners came and sat down with Jesus and his disciples,0
23391,When the Pharisees saw it they said to his disciples Why does your teacher eat with tax collectors and sinners,0
23392,When Jesus heard it he said to them Those who are healthy have no need for a physician but those who are sick do,0
23393,But you go and learn what this means I desire mercy and not sacrifice for I came not to call the righteous but sinners to repentance,0
23394,Then Johns disciples came to him saying Why do we and the Pharisees fast often but your disciples dont fast,0
23395,Jesus said to them Can the friends of the bridegroom mourn as long as the bridegroom is with them But the days will come when the bridegroom will be taken away from them and then they will fast,0
23396,No one puts a piece of unshrunk cloth on an old garment for the patch would tear away from the garment and a worse hole is made,0
23397,Neither do people put new wine into old wineskins or else the skins would burst and the wine be spilled and the skins ruined No they put new wine into fresh wineskins and both are preserved,0
23398,While he told these things to them behold a ruler came and worshiped him saying My daughter has just died but come and lay your hand on her and she will live,0
23399,Jesus got up and followed him as did his disciples,0
23400,Behold a woman who had an issue of blood for twelve years came behind him and touched the tassels of his garment,0
23401,for she said within herself If I just touch his garment I will be made well,0
23402,But Jesus turning around and seeing her said Daughter cheer up! Your faith has made you well And the woman was made well from that hour,0
23403,When Jesus came into the rulers house and saw the flute players and the crowd in noisy disorder,0
23404,he said to them Make room because the girl isnt dead but sleeping They were ridiculing him,0
23405,But when the crowd was put out he entered in took her by the hand and the girl arose,0
23406,The report of this went out into all that land,0
23407,As Jesus passed by from there two blind men followed him calling out and saying Have mercy on us son of David!,0
23408,When he had come into the house the blind men came to him Jesus said to them Do you believe that I am able to do this They told him Yes Lord,0
23409,Then he touched their eyes saying According to your faith be it done to you,0
23410,Their eyes were opened Jesus strictly charged them saying See that no one knows about this,0
23411,But they went out and spread abroad his fame in all that land,0
23412,As they went out behold a mute man who was demon possessed was brought to him,0
23413,When the demon was cast out the mute man spoke The multitudes marveled saying Nothing like this has ever been seen in Israel!,0
23414,But the Pharisees said By the prince of the demons he casts out demons,0
23415,Jesus went about all the cities and the villages teaching in their synagogues and preaching the Gospel of the Kingdom and healing every disease and every sickness among the people,0
23416,But when he saw the multitudes he was moved with compassion for them because they were harassedTR reads weary instead of harassed and scattered like sheep without a shepherd,0
23417,Then he said to his disciples The harvest indeed is plentiful but the laborers are few,0
23418,Pray therefore that the Lord of the harvest will send out laborers into his harvest,0
23419,He called to himself his twelve disciples and gave them authority over unclean spirits to cast them out and to heal every disease and every sickness,0
23420,Now the names of the twelve apostles are these The first Simon who is called Peter Andrew his brother James the son of Zebedee John his brother,0
23421,Philip Bartholomew Thomas Matthew the tax collector James the son of Alphaeus and Lebbaeus whose surname was Thaddaeus,0
23422,Simon the Canaanite and Judas Iscariot who also betrayed him,0
23423,Jesus sent these twelve out and charged them saying Dont go among the Gentiles and dont enter into any city of the Samaritans,0
23424,Rather go to the lost sheep of the house of Israel,0
23425,As you go preach saying The Kingdom of Heaven is at hand!,0
23426,Heal the sick cleanse the lepersTR adds  raise the dead and cast out demons Freely you received so freely give,0
23427,Dont take any gold nor silver nor brass in your money belts,0
23428,Take no bag for your journey neither two coats nor shoes nor staff for the laborer is worthy of his food,0
23429,Into whatever city or village you enter find out who in it is worthy and stay there until you go on,0
23430,As you enter into the household greet it,0
23431,If the household is worthy let your peace come on it but if it isnt worthy let your peace return to you,0
23432,Whoever doesnt receive you nor hear your words as you go out of that house or that city shake off the dust from your feet,0
23433,Most assuredly I tell you it will be more tolerable for the land of Sodom and Gomorrah in the day of judgment than for that city,0
23434,Behold I send you out as sheep in the midst of wolves Therefore be wise as serpents and harmless as doves,0
23435,But beware of men for they will deliver you up to councils and in their synagogues they will scourge you,0
23436,Yes and you will be brought before governors and kings for my sake for a testimony to them and to the Gentiles,0
23437,But when they deliver you up dont be anxious how or what you will say for it will be given you in that hour what you will say,0
23438,For it is not you who speak but the Spirit of your Father who speaks in you,0
23439,Brother will deliver up brother to death and the father his child Children will rise up against parents and cause them to be put to death,0
23440,You will be hated by all men for my names sake but he who endures to the end will be saved,0
23441,But when they persecute you in this city flee into the next for most assuredly I tell you you will not have gone through the cities of Israel until the Son of Man has come,0
23442,A disciple is not above his teacher nor a servant above his lord,0
23443,It is enough for the disciple that he be like his teacher and the servant like his lord If they have called the master of the house Beelzebul how much more those of his household!,0
23444,Therefore dont be afraid of them for there is nothing covered that will not be revealed and hidden that will not be known,0
23445,What I tell you in the darkness speak in the light and what you hear whispered in the ear proclaim on the housetops,0
23446,Dont be afraid of those who kill the body but are not able to kill the soul Rather fear him who is able to destroy both soul and body in Gehenna,0
23447,Arent two sparrows sold for an assarionAn assarion is a small coin worth one tenth of a drachma or a sixteenth of a denarius approximately the wages of one half hour of agricultural labor Not one of them falls on the ground apart from your Fathers will,0
23448,but the very hairs of your head are all numbered,0
23449,Therefore dont be afraid You are of more value than many sparrows,0
23450,Everyone therefore who confesses me before men him I will also confess before my Father who is in heaven,0
23451,But whoever denies me before men him I will also deny before my Father who is in heaven,0
23452,Dont think that I came to send peace on the earth I didnt come to send peace but a sword,0
23453,For I came to set a man at odds against his father and a daughter against her mother and a daughterinlaw against her motherinlaw,0
23454,A mans foes will be those of his own household,0
23455,He who loves father or mother more than me is not worthy of me and he who loves son or daughter more than me isnt worthy of me,0
23456,He who doesnt take his cross and follow after me isnt worthy of me,0
23457,He who finds his life will lose it and he who loses his life for my sake will find it,0
23458,He who receives you receives me and he who receives me receives him who sent me,0
23459,He who receives a prophet in the name of a prophet will receive a prophets reward and he who receives a righteous man in the name of a righteous man will receive a righteous mans reward,0
23460,Whoever gives one of these little ones just a cup of cold water to drink in the name of a disciple most assuredly I tell you he will in no way lose his reward,0
23461,It happened that when Jesus had finished directing his twelve disciples he departed from there to teach and preach in their cities,0
23462,Now when John heard in the prison the works of Christ he sent two of his disciples,0
23463,and said to him Are you he who comes or should we look for another,0
23464,Jesus answered them Go and tell John the things which you hear and see,0
23465,the blind receive their sight the lame walk the lepers are cleansed the deaf hear the dead are raised up and the poor have good news preached to them,0
23466,Blessed is he who finds no occasion for stumbling in me,0
23467,As these went their way Jesus began to say to the multitudes concerning John What did you go out into the wilderness to see A reed shaken by the wind,0
23468,But what did you go out to see A man in soft clothing Behold those who wear soft clothing are in kings houses,0
23469,But why did you go out To see a prophet Yes I tell you and much more than a prophet,0
23470,For this is he of whom it is written Behold I send my messenger before your face who will prepare your way before you,0
23471,Most assuredly I tell you among those who are born of women there has not arisen anyone greater than John the Baptizer yet he who is least in the Kingdom of Heaven is greater than he,0
23472,From the days of John the Baptizer until now the Kingdom of Heaven suffers violence and the violent take it by force,0
23473,For all the prophets and the law prophesied until John,0
23474,If you are willing to receive it this is Elijah who is to come,0
23475,He who has ears to hear let him hear,0
23476,But to what shall I compare this generation It is like children sitting in the marketplaces who call to their companions,0
23477,and say We played the flute for you and you didnt dance We mourned for you and you didnt lament,0
23478,For John came neither eating nor drinking and they say He has a demon,0
23479,The Son of Man came eating and drinking and they say Behold a gluttonous man and a drunkard a friend of tax collectors and sinners! But wisdom is justified by her children,0
23480,Then he began to denounce the cities in which most of his mighty works had been done because they didnt repent,0
23481,Woe to you Chorazin! Woe to you Bethsaida! For if the mighty works had been done in Tyre and Sidon which were done in you they would have repented long ago in sackcloth and ashes,0
23482,But I tell you it will be more tolerable for Tyre and Sidon on the day of judgment than for you,0
23483,You Capernaum who are exalted to Heaven you will go down to Hades For if the mighty works had been done in Sodom which were done in you it would have remained until this day,0
23484,But I tell you that it will be more tolerable for the land of Sodom on the day of judgment than for you,0
